,ZIP_CODE,ZCTA,Population
0,501,11742,13261
1,544,11742,13261
2,11742,11742,13261
3,1001,1001,16769
4,1002,1002,29049
5,1004,1002,29049
6,1059,1002,29049
7,1003,1003,10372
8,1005,1005,5079
9,1007,1007,14649
10,1008,1008,1263
11,1009,1009,741
12,1010,1010,3609
13,1011,1011,1370
14,1012,1012,661
15,1013,1013,23188
16,1014,1013,23188
17,1020,1020,29668
18,1021,1020,29668
19,1022,1022,2451
20,1026,1026,946
21,1027,1027,17660
22,1028,1028,15720
23,1029,1029,789
24,1030,1030,11669
25,1031,1031,1308
26,1032,1032,570
27,1033,1033,6227
28,1034,1034,2021
29,1035,1035,5250
30,1036,1036,5109
31,1037,1037,838
32,1038,1038,2545
33,1039,1039,1336
34,1040,1040,39880
35,1041,1040,39880
36,1050,1050,2530
37,1053,1053,1685
38,1054,1054,1851
39,1056,1056,21103
40,1057,1057,8534
41,1060,1060,15284
42,1061,1060,15284
43,1062,1062,11150
44,1063,1063,430
45,1066,1066,64
46,1068,1068,1902
47,1069,1069,8469
48,1070,1070,629
49,1071,1071,1596
50,1072,1072,1478
51,1073,1073,5792
52,1074,1074,319
53,1075,1075,17527
54,1077,1077,9502
55,1079,1079,692
56,1080,1080,2334
57,1081,1081,1698
58,1082,1082,10322
59,1083,1083,2888
60,1084,1084,176
61,1085,1085,41117
62,1086,1086,687
63,1088,1088,670
64,1089,1089,28391
65,1090,1089,28391
66,1092,1092,1394
67,1093,1093,325
68,1094,1094,351
69,1095,1095,14319
70,1096,1096,2217
71,1097,1097,111
72,1098,1098,1101
73,1101,1104,22865
74,1102,1104,22865
75,1104,1104,22865
76,1103,1103,2479
77,1115,1103,2479
78,1144,1103,2479
79,1105,1105,12350
80,1106,1106,16021
81,1116,1106,16021
82,1107,1107,11611
83,1108,1108,26688
84,1138,1108,26688
85,1109,1109,30250
86,1111,1109,30250
87,1139,1109,30250
88,1118,1118,14071
89,1119,1119,14152
90,1128,1128,2631
91,1129,1129,7019
92,1151,1151,8698
93,1152,1151,8698
94,1199,1199,0
95,1201,1201,46504
96,1202,1201,46504
97,1203,1201,46504
98,1220,1220,8603
99,1222,1222,829
100,1223,1223,2314
101,1224,1224,182
102,1225,1225,3117
103,1226,1226,6945
104,1227,1226,6945
105,1229,1229,95
106,1230,1230,8430
107,1252,1230,8430
108,1235,1235,2766
109,1236,1236,1509
110,1237,1237,2496
111,1238,1238,6047
112,1240,1240,4534
113,1242,1242,476
114,1243,1243,334
115,1244,1244,151
116,1245,1245,985
117,1247,1247,16087
118,1253,1253,731
119,1254,1254,972
120,1255,1255,915
121,1256,1256,692
122,1257,1257,2121
123,1258,1258,374
124,1259,1259,635
125,1260,1260,240
126,1262,1262,1238
127,1263,1262,1238
128,1264,1264,137
129,1266,1266,1463
130,1267,1267,7989
131,1270,1270,778
132,1301,1301,17700
133,1302,1301,17700
134,1330,1330,1506
135,1331,1331,13263
136,1337,1337,2596
137,1338,1338,187
138,1339,1339,1438
139,1340,1340,1701
140,1341,1341,1833
141,1342,1342,1492
142,1343,1343,75
143,1344,1344,1498
144,1346,1346,533
145,1347,1347,166
146,1349,1349,1091
147,1350,1350,121
148,1351,1351,2270
149,1354,1354,1500
150,1355,1355,878
151,1360,1360,3032
152,1364,1364,7969
153,1366,1366,1277
154,1367,1367,522
155,1368,1368,1261
156,1370,1370,4084
157,1373,1373,4600
158,1375,1375,3684
159,1376,1376,5247
160,1378,1378,774
161,1379,1379,813
162,1380,1379,813
163,1420,1420,40337
164,1430,1430,6089
165,1431,1431,3074
166,1432,1432,7089
167,1434,1434,1795
168,1436,1436,3336
169,1438,1438,559
170,1440,1440,20347
171,1441,1440,20347
172,1450,1450,10646
173,1470,1450,10646
174,1471,1450,10646
175,1472,1450,10646
176,1451,1451,4747
177,1452,1452,4382
178,1453,1453,40883
179,1460,1460,8924
180,1462,1462,10086
181,1463,1463,11497
182,1464,1464,7211
183,1467,1467,316
184,1468,1468,4021
185,1469,1469,6801
186,1473,1473,7277
187,1474,1474,2125
188,1475,1475,10270
189,1501,1501,16075
190,1503,1503,2866
191,1504,1504,9026
192,1505,1505,4355
193,1506,1506,3390
194,1507,1507,12981
195,1508,1507,12981
196,1509,1507,12981
197,1510,1510,13606
198,1515,1515,2183
199,1516,1516,8500
200,1518,1518,2974
201,1519,1519,6595
202,1520,1520,13997
203,1521,1521,2481
204,1522,1522,3310
205,1523,1523,7582
206,1524,1524,6696
207,1525,1525,290
208,1526,1590,8875
209,1590,1590,8875
210,1527,1527,13246
211,1586,1527,13246
212,1529,1529,3190
213,1531,1531,999
214,1532,1532,14155
215,1534,1534,5631
216,1535,1535,4680
217,1536,1536,6888
218,1537,1537,2248
